bedrift,avdeling,telefon,bransje,org num
Elysee Dental AS,Viken,32 89 60 55,['Agenturer'],916938586.0
Fluke Norge AS,Oslo,800 18 227,['Agenturer'],965362118.0
Fernando Norge AS,Oslo,475 19 067,['Agenturer'],923157778.0
Kinera AS,Vestfold og Telemark,452 20 383,['Agenturer'],992115149.0
Payback Lubricants Norge AS,Nordland,453 94 140,['Agenturer'],915105904.0
Diz AS,Trøndelag,928 30 551,['Agenturer'],998903718.0
Ecoteknologi AS,Vestland,468 43 818,['Agenturer'],917617333.0
Aak Norway AS,Oslo,,['Agenturer'],988369403.0
Knut Larsen AS,Viken,,['Agenturer'],976180445.0
Tara,Oslo,22 42 99 49,['Agenturer'],979971516.0
Tgs Lysteknikk AS,Trøndelag,971 14 000,['Agenturer'],923085106.0
Nu Skin Norway AS,Oslo,,['Agenturer'],987156139.0
Hair Agentur AS,Innlandet,,['Agenturer'],918034439.0
Marin Partner AS,Vestfold og Telemark,33 42 00 91,['Agenturer'],911583569.0
Rolf Persen AS,Troms og Finnmark,950 73 444,['Agenturer'],992092939.0
Brande Agentur AS,Agder,901 92 344,['Agenturer'],916069391.0
Swimtag Nordic AS,Rogaland,,['Agenturer'],912259196.0
Wowbrow CC Vest AS,Oslo,,['Agenturer'],921187971.0
Elverdi Norge AS,Nordland,,['Agenturer'],998679494.0
Albert Vold Interiør AS,Trøndelag,72 84 62 05,['Agenturer'],915920756.0
Scantoy AS,Møre og Romsdal,944 93 659,['Agenturer'],925131393.0
Webcrm,Agder,924 47 292,['Agenturer'],914831555.0
Jojo Agenturer AS,Oslo,,['Agenturer'],912443108.0
Wabari Solutions AS,Oslo,,['Agenturer'],914066964.0
Nord Agenturer AS,Troms og Finnmark,901 48 323,['Agenturer'],989191500.0
International Cooperation AS,Vestland,,['Agenturer'],923008462.0
Arctic Paper Norge AS,Oslo,66 82 35 50,['Agenturer'],913020332.0
Normann Frisør Agentur,Troms og Finnmark,901 99 511,['Agenturer'],982025990.0
Nfm AS,Viken,,['Agenturer'],922899320.0
Ansell Norway AS,Oslo,,['Agenturer'],998014786.0
Didell AS,Vestfold og Telemark,33 50 80 00,['Agenturer'],914276489.0
Tove Trading AS,Oslo,,['Agenturer'],964753520.0
Hl Salg AS,Vestland,995 71 115,['Agenturer'],998595193.0
The Junction AS,Viken,,['Agenturer'],915967264.0
Dannevig AS,Oslo,474 84 448,['Agenturer'],916575092.0
Shincon AS,Rogaland,922 15 090,['Agenturer'],991477829.0
Bru1 AS,Rogaland,932 36 268,['Agenturer'],813314282.0
Fabricair AS,Trøndelag,934 91 122,['Agenturer'],913026861.0
Førstehjelpspartner AS,Nordland,971 42 309,['Agenturer'],997095987.0
Tp Vision Norway AS,Oslo,,['Agenturer'],997703839.0
Tor Hodnes Eftf Dagligvareservice AS,Rogaland,916 92 968,['Agenturer'],989348957.0
NNZ NORWAY AS,Innlandet,954 95 046,['Emballasje'],913458001.0
Caretec AS,Troms og Finnmark,,['Agenturer'],996234576.0
Fesenso AS,Vestland,905 80 320,['Agenturer'],919578556.0
Medi-Tools AS,Viken,,['Agenturer'],913359569.0
Frisørpartner AS,Trøndelag,900 84 604,['Agenturer'],984890605.0
Isandi,Oslo,22 50 24 70,['Agenturer'],986348867.0
Norsk Metalloverflate AS,Vestland,56 15 09 01,['Agenturer'],914117771.0
El.Salg AS,Innlandet,,['Agenturer'],911677970.0
Ardagh Glass Moss AS,Viken,69 91 00 42,['Glass og glassarbeid'],816665752.0
Scandi Agency AS,Oslo,,['Agenturer'],922124531.0
Tfk Produkter AS,Trøndelag,468 02 111,['Agenturer'],916339410.0
Lite Norge AS,Oslo,,['Agenturer'],917207038.0
Network Broking AS,Oslo,22 04 46 50,['Agenturer'],979924720.0
Reptilutstyr AS,Viken,,['Agenturer'],925413976.0
Elga Norge AS,Møre og Romsdal,,['Agenturer'],919325550.0
Stølan Utvikling AS,Vestfold og Telemark,,['Agenturer'],915904394.0
Rekron Industrigummi AS,Viken,906 54 275,['Agenturer'],913038576.0
Alba Security AS,Rogaland,,['Agenturer'],923849653.0
Gomatic AS,Oslo,,['Agenturer'],919371846.0
Geberit Service AS,Vestfold og Telemark,35 57 35 69,['Agenturer'],988069051.0
Aasland Agentur AS,Troms og Finnmark,911 21 388,['Agenturer'],999330010.0
Mellymoon AS,Viken,920 38 540,['Agenturer'],912399885.0
Buskerud Assuranse AS,Viken,,['Agenturer'],919360984.0
Building Automation Products Norway AS,Viken,,['Agenturer'],915913113.0
Pa Consulting AS,Viken,,['Agenturer'],924509678.0
Envir Holding AS,Vestland,55 20 04 00,['Agenturer'],916973985.0
Alf Viggo Johnsen Agentur AS,Vestland,,['Agenturer'],993642959.0
Edsbyn AS,Oslo,979 98 564,['Agenturer'],916242727.0
Pro Visjon AS,Viken,417 86 086,['Agenturer'],915820689.0
Dentsolution AS,Viken,,['Agenturer'],992326425.0
Jarle Aakvik AS,Trøndelag,957 04 103,['Agenturer'],991838880.0
Diagnostic Technologies AS,Oslo,,['Agenturer'],917142718.0
Bengt Pettersen AS,Viken,917 10 748,['Agenturer'],994502603.0
RK Consult AS,Vestfold og Telemark,957 54 662,['Agenturer'],991519009.0
Industri Supply Ltd,Troms og Finnmark,,['Agenturer'],994010514.0
Tikomanik AS,Viken,911 07 946,['Agenturer'],980664082.0
Sandefjord Automasjon AS,Vestfold og Telemark,901 09 311,['Agenturer'],995916967.0
Åkerholt Agenturfirma AS,Vestfold og Telemark,33 77 09 99,['Agenturer'],986432515.0
Fab2 AS,Viken,,['Agenturer'],820602692.0
Ålesund Maritime AS,Møre og Romsdal,976 03 595,['Agenturer'],920493203.0
Sol Markiser AS,Oslo,900 40 035,['Agenturer'],980381870.0
Green Clean Technology AS,Vestfold og Telemark,,['Agenturer'],914224764.0
Mosheim AS,Oslo,478 61 065,['Agenturer'],918878734.0
The Martin Vinje Company AS,Viken,,['Agenturer'],990949360.0
Proffhagen AS,Viken,,['Agenturer'],922121516.0
Nortools AS,Viken,,['Agenturer'],971558954.0
Amcor Flexibles Valkeakoski Oy Filial Norge,Vestfold og Telemark,,['Agenturer'],987801948.0
Merc Holding AS,Vestfold og Telemark,,['Agenturer'],916864604.0
Mmabs AS,Vestland,,['Agenturer'],920578799.0
Blunk Details AS,Viken,,['Agenturer'],927118211.0
House AS,Oslo,909 69 846,['Agenturer'],814041352.0
Funksport AS,Viken,452 36 397,['Agenturer'],998924146.0
Biomekanikk AS,Oslo,,['Agenturer'],991707417.0
Com-In AS,Vestfold og Telemark,33 46 71 31,['Agenturer'],968287397.0
Ema Agentur AS,Nordland,,['Agenturer'],997052285.0
Mh Agenturer AS,Agder,479 10 991,['Agenturer'],927120879.0
Norsk Biovarme AS,Innlandet,,['Agenturer'],923231595.0
Sverre Østrem AS,Møre og Romsdal,920 38 636,['Agenturer'],996429628.0
4labber og 1hale AS,Viken,973 09 316,['Agenturer'],914241774.0
Cinetek AS,Viken,,['Agenturer'],913406052.0
Trioplast AS,Viken,,['Agenturer'],926915878.0
Engebu AS,Agder,,['Agenturer'],919276444.0
Matok AS,Viken,,['Agenturer'],916300506.0
Hallsystemer AS,Oslo,996 08 500,['Agenturer'],980069214.0
Deltadent AS,Rogaland,,['Agenturer'],913633628.0
Exron AS,Viken,,['Agenturer'],919334630.0
HA.Maskin AS,Viken,902 08 047,['Agenturer'],912110435.0
Epinor AS,Viken,928 31 700,['Agenturer'],937739265.0
Diner Nord AS,Troms og Finnmark,,['Agenturer'],970980288.0
Toy AS,Trøndelag,,['Agenturer'],825388982.0
Sandra & Iris Holding AS,Møre og Romsdal,,['Agenturer'],911902222.0
VVS - Agenten AS,Vestland,56 32 11 19,['Agenturer'],890058272.0
Tenderflame Nordic AS,Viken,,['Agenturer'],923017976.0
Støltun Holding AS,Viken,,['Agenturer'],981255828.0
Norstream AS,Agder,37 09 33 70,['Agenturer'],978605680.0
Studio Krøger AS,Oslo,900 28 998,['Agenturer'],923668993.0
Tverraana AS,Agder,,['Agenturer'],924532971.0
Northstar Sports Agency AS,Trøndelag,,['Agenturer'],912183017.0
Prydz Interiør AS,Trøndelag,,['Agenturer'],968402455.0
Easy Trade AS,Viken,,['Agenturer'],915713807.0
Oleon Northern Europe AS,Vestfold og Telemark,,['Agenturer'],984406231.0
Living & Dining AS,Vestfold og Telemark,900 93 912,['Agenturer'],912121054.0
Findreng Consult AS,Vestland,,['Agenturer'],922191867.0
Scandinavian Taste AS,Oslo,489 99 292,['Agenturer'],925280801.0
Ketil Bro,Viken,913 12 621,['Agenturer'],980654443.0
AESSEAL Nordic,Viken,,['Agenturer'],988605042.0
Hollevik AS,Viken,,['Agenturer'],918601813.0
Sørlandets Bedriftsservice AS,Rogaland,950 44 550,['Agenturer'],921565003.0
Arne Mjøsund AS,Viken,,['Agenturer'],992562854.0
Dine Hjelpemidler AS,Oslo,940 88 889,['Agenturer'],914894573.0
Ki Søvik Invest AS,Møre og Romsdal,,['Agenturer'],911771160.0
Micro A/S,Vestfold og Telemark,33 77 78 00,['Agenturer'],960210808.0
Betamo AS,Viken,928 57 754,['Agenturer'],976497341.0
Jon Lindstad AS,Oslo,22 28 78 33,['Agenturer'],981298772.0
Go Healthy AS,Vestfold og Telemark,905 30 337,['Agenturer'],916629249.0
Best Armering AS,Viken,32 25 49 10,['Agenturer'],987603410.0
Nereides AS,Oslo,22 02 02 05,['Agenturer'],986404635.0
Intercon AS,Trøndelag,73 51 13 40,['Agenturer'],831210672.0
Ken-Nor AS,Viken,416 12 480,['Agenturer'],980098834.0
Bjørn Agenturer AS,Troms og Finnmark,77 65 62 92,['Agenturer'],980277100.0
Provi AS,Rogaland,913 89 775,['Agenturer'],913039483.0
Jag Design AS,Troms og Finnmark,916 12 026,['Agenturer'],996200701.0
Rm Brands AS,Viken,,['Agenturer'],916992998.0
Richard Thu AS,Rogaland,,['Agenturer'],987658525.0
Jøli Safe AS,Viken,66 84 21 00,['Agenturer'],922070261.0
Dybwad-Olsen AS,Viken,67 58 42 50,['Agenturer'],830412492.0
Displaysystem AS,Nordland,,['Agenturer'],917195927.0
Norske Tennisbaner AS,Oslo,22 64 06 66,['Agenturer'],971093439.0
Multitrading AS,Trøndelag,,['Agenturer'],817932762.0
Lofoten Supply Team AS,Nordland,941 48 355,['Agenturer'],915101046.0
Wenches Agentur AS,Rogaland,,['Agenturer'],916593767.0
Marteli AS,Viken,,['Agenturer'],926402935.0
Skanpro AS,Viken,948 43 034,['Agenturer'],915280544.0
Jevnaker Agentur Ltd,Viken,61 31 13 31,['Agenturer'],991541241.0
Hygieneservice AS,Oslo,,['Agenturer'],916502435.0
Rock City Brygg AS,Trøndelag,,['Agenturer'],918191526.0
Westby Agentur AS,Troms og Finnmark,905 45 553,['Agenturer'],889217472.0
Vågsether AS,Møre og Romsdal,900 99 282,['Agenturer'],917862710.0
Frode Brox AS,Troms og Finnmark,,['Agenturer'],989031325.0
Jump Club AS,Trøndelag,918 11 326,['Agenturer'],992926325.0
Digihuset AS,Viken,960 06 700,['Agenturer'],921074611.0
Bor Sag og Meiselteknikk AS,Vestland,,['Agenturer'],920828132.0
Makulai AS,Vestfold og Telemark,,['Agenturer'],821197732.0
Kent AS,Rogaland,,['Agenturer'],916035926.0
Stilken og Strøm AS,Rogaland,405 49 543,['Agenturer'],919333367.0
Gh Agenturer AS,Troms og Finnmark,948 74 348,['Agenturer'],990010137.0
Søndergaard Trading AS,Viken,,['Agenturer'],994277790.0
Egeplast Nordic AS,Vestfold og Telemark,,['Agenturer'],916751346.0
Arco Interpharma AS,Viken,900 22 590,['Agenturer'],915357539.0
Awena AS,Troms og Finnmark,977 17 175,['Agenturer'],993832502.0
To Profilering AS,Viken,414 53 372,['Agenturer'],987180501.0
Marthe Hotvedt Flaatnes AS,Vestfold og Telemark,,['Agenturer'],920156894.0
Imemi Agenturer AS,Viken,,['Agenturer'],921275919.0
Salg.co AS,Oslo,951 78 018,['Agenturer'],914150299.0
Maskiner & Pulverteknologi AS,Viken,63 98 10 09,['Agenturer'],979495773.0
Giag AS,Rogaland,913 95 505,['Agenturer'],955699017.0
Skyvac Norge AS,Viken,,['Agenturer'],917612307.0
Norefco AS,Vestland,55 55 77 85,['Agenturer'],956456762.0
Bestsystem AS,Viken,69 33 20 40,['Agenturer'],981509374.0
Parabolhuset AS,Rogaland,51 88 00 01,['Agenturer'],965656340.0
Holli Brands AS,Oslo,,['Agenturer'],921172184.0
Automatisk Parkering AS,Viken,913 36 107,['Parkeringsanlegg'],998854628.0
Galleri Villvin,Agder,905 15 106,['Agenturer'],948412063.0
Vita-Min AS,Agder,990 95 424,['Agenturer'],994261444.0
HPC,Viken,922 65 515,['Agenturer'],878629752.0
Quioz Scandinavia AS,Viken,23 03 75 06,['Agenturer'],992026855.0
K L Jensen AS,Rogaland,926 63 438,['Agenturer'],933727742.0
Gull og Ur Innkjøp AS,Trøndelag,,['Agenturer'],918041885.0
Halgrim AS,Viken,,['Agenturer'],997125061.0
Powermate Norge AS,Innlandet,,['Agenturer'],915267297.0
Aaj 2014 AS,Vestland,,['Agenturer'],913292057.0
Hab Eiendom AS,Rogaland,907 89 227,['Eiendomshandel og -utleie'],989810650.0
Georg Martinsen Holding AS,Vestfold og Telemark,33 36 37 70,['Agenturer'],914793165.0
Branch Group AS,Oslo,,['Agenturer'],885179282.0
Diaq AS,Nordland,,['Agenturer'],922703159.0
New Shoes AS,Oslo,,['Agenturer'],912854922.0
Lumirox AS,Viken,,['Agenturer'],926572342.0
Loci Wines AS,Viken,,['Agenturer'],927547651.0
Medical Care System Mcs AS,Vestland,982 98 189,['Agenturer'],925913693.0
Raa AS,Oslo,,['Agenturer'],919686855.0
Tom Knudsen AS,Agder,,['Agenturer'],989215396.0
Brage Sport AS,Trøndelag,,['Agenturer'],885642462.0
Vedum Minishop AS,Vestland,488 90 910,['Agenturer'],920273475.0
Norsmile AS,Oslo,23 38 80 08,['Agenturer'],999178162.0
Concept Agency AS,Oslo,,['Agenturer'],912977099.0
Eba Consulting AS,Viken,,['Agenturer'],916720491.0
Rgh Kommunikasjon AS,Oslo,932 60 550,['Agenturer'],990844887.0
Hs Tech AS,Vestfold og Telemark,,['Agenturer'],919417773.0
Nord Blomst AS,Oslo,22 89 95 95,['Agenturer'],913823486.0
Elizabeth Arden (norway) AS,Oslo,800 11 554,['Agenturer'],982990556.0
Hurlens Agenturforretning AS,Møre og Romsdal,901 48 278,['Agenturer'],976201639.0
Rustproff AS,Rogaland,,['Agenturer'],920828493.0
Utesauna AS,Vestfold og Telemark,,['Agenturer'],925566500.0
Farogsønn AS,Vestfold og Telemark,,['Agenturer'],997357779.0
Bretvik Holding AS,Viken,,['Hovedkontortjenester'],995446901.0
Rathes Eftf AS,Trøndelag,73 96 54 40,['Agenturer'],915314228.0
Teko AS,Agder,820 44 144,['Agenturer'],915919588.0
Myklebust Trading Ltd. AS,Oslo,,['Agenturer'],976698614.0
Imh Service AS,Rogaland,907 42 449,['Agenturer'],913519817.0
MC Profil AS,Agder,907 80 558,['Agenturer'],985909377.0
Globe Import Engros AS,Viken,958 61 027,['Agenturer'],986704469.0
Norlane AS,Viken,,['Agenturer'],916336799.0
Pk Agentur AS,Trøndelag,,['Agenturer'],925373206.0
Kaffisenteret Fjordane AS,Vestland,934 36 000,['Agenturer'],999659837.0
Bira AS,Viken,,['Agenturer'],999524664.0
Pba AS,Viken,907 94 264,['Agenturer'],914021383.0
Haslestad AS,Vestfold og Telemark,,['Agenturer'],924957565.0
Hevi Holding AS,Nordland,,['Agenturer'],989187031.0
Waldec Norge AS,Innlandet,,['Agenturer'],826178752.0
Soft Supplies AS,Viken,,['Agenturer'],915002420.0
Vitobia AS,Troms og Finnmark,78 46 10 00,['Agenturer'],914103703.0
Id4you AS,Vestfold og Telemark,,['Agenturer'],987325402.0
Superfresh AS,Viken,,['Agenturer'],998870798.0
Scent AS,Trøndelag,930 88 030,['Agenturer'],896935852.0
Hp Produkter AS,Nordland,,['Agenturer'],918713123.0
Kiritec AS,Troms og Finnmark,922 45 688,['Agenturer'],989616714.0
Bonus Fortuna AS,Rogaland,415 12 664,['Agenturer'],915318010.0
Vicer AS,Agder,415 48 844,['Agenturer'],899002822.0
Paroma AS,Trøndelag,,['Agenturer'],812193902.0
Neso AS,Oslo,,['Agenturer'],914440009.0
Hårmakeren AS,Agder,,['Agenturer'],925924954.0
Specula AS,Oslo,,['Agenturer'],920245307.0
Tld Holding AS,Viken,930 50 018,['Agenturer'],914984017.0
Milanolab AS,Oslo,,['Agenturer'],914380154.0
Formel AS,Oslo,22 19 06 00,['Agenturer'],988978825.0
Dark Matter Norway AS,Vestfold og Telemark,,['Agenturer'],989030515.0
Happy Home Jonassen AS,Møre og Romsdal,,['Agenturer'],919753439.0
Jones Fauske AS,Nordland,75 64 01 11,['Agenturer'],979190360.0
Kristiania Marine AS,Oslo,21 38 38 31,['Agenturer'],994249398.0
Ths S Falck AS,Rogaland,,['Agenturer'],929469534.0
Bente Sørum AS,Vestfold og Telemark,,['Agenturer'],918039252.0
Nordtrade Assurance AS,Troms og Finnmark,,['Agenturer'],930739235.0
Sun Valley AS,Oslo,22 72 42 00,['Agenturer'],912243834.0
Scandinavian Marine Group AS,Vestland,53 49 41 00,['Agenturer'],877567222.0
Biodynamic AS,Viken,,['Agenturer'],912207714.0
Jpt Agency AS,Viken,,['Agenturer'],922936013.0
T-Tech A/S,Oslo,900 41 200,['Agenturer'],943355436.0
Sydenleiligheter AS,Viken,924 04 300,['Agenturer'],997250206.0
Jek AS,Oslo,,['Agenturer'],990102872.0
Scandinavian Consulting,Viken,,['Agenturer'],891185782.0
Demba Oslo AS,Viken,,['Agenturer'],923841822.0
Himmelhagen AS,Viken,917 09 861,['Agenturer'],974465795.0
Isan Agency AS,Viken,941 97 514,['Agenturer'],928411311.0
Ilde Norge AS,Oslo,,['Agenturer'],818442262.0
Håberg AS,Møre og Romsdal,,['Agenturer'],990749108.0
Tm Solutions AS,Møre og Romsdal,,['Agenturer'],927925664.0
Catparts Nord AS,Oslo,,['Agenturer'],919075198.0
Venturemed AS,Oslo,,['Agenturer'],911915545.0
J Monrad-Hansen AS,Oslo,920 66 440,['Agenturer'],921475462.0
Kimbrer AS,Viken,,['Agenturer'],814216802.0
Tonic Eyewear Europe AS,Rogaland,,['Agenturer'],923241477.0
Sikker Hverdag AS,Innlandet,,['Agenturer'],911574101.0
Im-Tech AS,Agder,948 26 110,['Agenturer'],997855418.0
Biosan Norge AS,Vestland,,['Agenturer'],923471596.0
Balance In Life Scandinavia AS,Viken,404 15 678,['Agenturer'],925058440.0
Kristoffersens Agenturer AS,Trøndelag,922 92 243,['Agenturer'],998551854.0
Trendshopper Trondheim,Trøndelag,,['Agenturer'],990518564.0
Ecotrading AS,Agder,,['Agenturer'],925270296.0
Hygiene Service AS,Oslo,,['Agenturer'],927385988.0
Skott Agri AS,Viken,,['Agenturer'],919128828.0
Huwik AS,Møre og Romsdal,950 82 466,['Agenturer'],997170121.0
Daranor AS,Oslo,,['Agenturer'],921450265.0
Prozales AS,Oslo,,['Agenturer'],924958642.0
Brands of Europe AS,Oslo,,['Agenturer'],817543642.0
Seal Solution (Nordic) AS,Viken,,['Agenturer'],917340587.0
Bli Z AS,Rogaland,,['Agenturer'],918769838.0
Arcpro AS,Viken,,['Agenturer'],816660092.0
Abio Int Ltd,Viken,,['Agenturer'],918857109.0
Biowall AS,Trøndelag,,['Agenturer'],898096092.0
Mwe Nordic AS,Viken,,['Agenturer'],922693854.0
Nbto AS,Oslo,,['Agenturer'],925528331.0
Socium AS,Viken,,['Agenturer'],999203205.0
Fossil Norway AS,Oslo,22 54 82 10,['Agenturer'],982529352.0
Mp Trading AS,Rogaland,,['Agenturer'],998199174.0
Rubea AS,Nordland,,['Agenturer'],919292245.0
Dalgård Agentservice AS,Troms og Finnmark,468 50 084,['Agenturer'],995962632.0
Sm Hoff AS,Møre og Romsdal,,['Agenturer'],993220086.0
F H Shipconsult AS,Viken,,['Agenturer'],911890798.0
Cobble Skateboards AS,Vestland,,['Agenturer'],914148472.0
Saunes Invest AS,Viken,,['Agenturer'],921810415.0
Øystein Berg Agenturer AS,Vestfold og Telemark,909 61 959,['Agenturer'],987296763.0
Land Bio AS,Innlandet,911 90 701,['Agenturer'],912051587.0
Tidløs Ur & Optikk AS,Viken,,['Agenturer'],917349622.0
Microadventure AS,Vestland,,['Agenturer'],918785086.0
T-Agency 2020 AS,Oslo,,['Agenturer'],925717819.0
Avio,Trøndelag,02475,['Agenturer'],983436196.0
Musikklink AS,Viken,66 90 35 10,['Agenturer'],989774751.0
Cloudberry Agenturer AS,Rogaland,,['Agenturer'],917539898.0
Kabelhuset AS,Møre og Romsdal,414 50 310,['Agenturer'],998811732.0
SMH Lighting Invest AS,Vestland,957 97 214,['Agenturer'],997880587.0
Hansen Maritime AS,Møre og Romsdal,,['Agenturer'],966115483.0
Horn of North AS,Oslo,,['Agenturer'],912764982.0
Askeladden Agenturer AS,Viken,,['Agenturer'],917829071.0
Scandihall AS,Viken,32 26 35 00,['Agenturer'],921800649.0
Delphin Norge AS,Rogaland,,['Agenturer'],915611052.0
Eteriteam AS,Vestland,,['Agenturer'],923144986.0
Eide Agenturer AS,Oslo,23 24 31 00,['Agenturer'],994658700.0
Sahota og Askeland AS,Oslo,,['Agenturer'],916578628.0
Bcx AS,Viken,,['Agenturer'],922154961.0
Kamè AS,Viken,924 29 956,['Agenturer'],990035989.0
Rators AS,Oslo,,['Agenturer'],986420878.0
Whynut AS,Oslo,,['Agenturer'],922735182.0
Paradox Equipment AS,Viken,413 02 999,['Agenturer'],911741148.0
Sleipner Trading AS,Vestland,,['Agenturer'],923848894.0
Twt Wavold Trading AS,Trøndelag,,['Agenturer'],943981515.0
Club Management AS,Agder,,['Agenturer'],920897088.0
