bedrift,avdeling,telefon,bransje,org num
Gh Agenturer AS,Troms og Finnmark,948 74 348,"['Agenturer', 'Agenturhandel - annet']",990010137.0
Søndergaard Trading AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",994277790.0
Egeplast Nordic AS,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",916751346.0
Arco Interpharma AS,Viken,900 22 590,"['Agenturer', 'Agenturhandel - annet']",915357539.0
Awena AS,Troms og Finnmark,977 17 175,"['Agenturer', 'Agenturhandel - annet']",993832502.0
To Profilering AS,Viken,414 53 372,"['Agenturer', 'Agenturhandel - annet']",987180501.0
Marthe Hotvedt Flaatnes AS,Vestfold og Telemark,,"['Agenturer', 'Agenturhandel - annet']",920156894.0
Imemi Agenturer AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",921275919.0
Salg.co AS,Oslo,951 78 018,"['Agenturer', 'Agenturhandel - annet']",914150299.0
Maskiner & Pulverteknologi AS,Viken,63 98 10 09,"['Agenturer', 'Agenturhandel - annet']",979495773.0
Giag AS,Rogaland,913 95 505,"['Agenturer', 'Agenturhandel - annet']",955699017.0
Skyvac Norge AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",917612307.0
Norefco AS,Vestland,55 55 77 85,"['Agenturer', 'Agenturhandel - annet']",956456762.0
Norefco Hentelager,Vestland,55 55 77 85,"['Agenturer', 'Agenturhandel - annet']",956456762.0
Norefco AS,Vestland,,"['Agenturer', 'Agenturhandel - annet']",956456762.0
Bestsystem AS,Viken,69 33 20 40,"['Agenturer', 'Agenturhandel - annet']",981509374.0
Hjalmar Wilhelmsen AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",981509374.0
Parabolhuset AS,Rogaland,51 88 00 01,"['Agenturer', 'Agenturhandel - annet']",965656340.0
Holli Brands AS,Oslo,,"['Agenturer', 'Agenturhandel - annet']",921172184.0
Automatisk Parkering AS,Viken,913 36 107,"['Parkeringsanlegg', 'Eiendomsforvaltning og -utvikling', 'Agenturer', 'Agenturhandel - annet']",998854628.0
Galleri Villvin,Agder,905 15 106,"['Agenturer', 'Agenturhandel - annet']",948412063.0
Vita-Min AS,Agder,990 95 424,"['Agenturer', 'Agenturhandel - annet']",994261444.0
HPC,Viken,922 65 515,"['Agenturer', 'Agenturhandel - annet']",878629752.0
Quioz Scandinavia AS,Viken,23 03 75 06,"['Agenturer', 'Agenturhandel - annet']",992026855.0
K L Jensen AS,Rogaland,926 63 438,"['Agenturer', 'Agenturhandel - annet']",933727742.0
Gull og Ur Innkjøp AS,Trøndelag,,"['Agenturer', 'Agenturhandel - annet']",918041885.0
Halgrim AS,Viken,,"['Agenturer', 'Agenturhandel - annet']",997125061.0
Powermate Norge AS,Innlandet,,"['Agenturer', 'Agenturhandel - annet']",915267297.0
Aaj 2014 AS,Vestland,,"['Agenturer', 'Agenturhandel - annet']",913292057.0
Valder Holding AS,Møre og Romsdal,,"['Hovedkontortjenester', 'Agenturer', 'Agenturhandel - annet']",915711510.0
Hab Eiendom AS,Rogaland,907 89 227,"['Eiendomshandel og -utleie', 'Agenturer', 'Agenturhandel - annet']",989810650.0
